unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1520899200000,2018-03-13 00:00:00,BTC/USDT,9131.34,9474,8823,9150,40191.409358,367353984.713284,342734
1520985600000,2018-03-14 00:00:00,BTC/USDT,9151.92,9333.78,7900.28,8170,49708.094108,426058009.755946,399127
1521072000000,2018-03-15 00:00:00,BTC/USDT,8184.01,8430,7650,8240.98,52291.022277,422130717.473101,400529
1521158400000,2018-03-16 00:00:00,BTC/USDT,8240.98,8611.64,7900,8260,38815.409893,322355002.165195,255807
1521244800000,2018-03-17 00:00:00,BTC/USDT,8260,8348.62,7721.99,7824.8,33110.206329,265973111.617629,292041
1521331200000,2018-03-18 00:00:00,BTC/USDT,7824.01,8317.4,7322,8189.99,59488.231711,458311733.51882,423336
1521417600000,2018-03-19 00:00:00,BTC/USDT,8189,8705.23,8088.4,8600,55297.084942,462654338.982128,360414
1521504000000,2018-03-20 00:00:00,BTC/USDT,8595.01,9050,8280,8909.98,44865.105835,387879393.470614,298261
1521590400000,2018-03-21 00:00:00,BTC/USDT,8909.96,9177.01,8750.6,8885,39972.405371,358157473.361232,293696
1521676800000,2018-03-22 00:00:00,BTC/USDT,8884.82,9100,8465.1,8722.9,40617.556809,354804129.343309,276449
1521763200000,2018-03-23 00:00:00,BTC/USDT,8720,8909,8269,8898.03,39991.007666,340755592.544531,278571
1521849600000,2018-03-24 00:00:00,BTC/USDT,8898.04,8999.95,8491,8546.86,35466.609572,313254829.905137,270300
1521936000000,2018-03-25 00:00:00,BTC/USDT,8531.25,8669.85,8365.77,8470.15,29001.769316,247023172.307955,215660
1522022400000,2018-03-26 00:00:00,BTC/USDT,8470.14,8514.89,7831,8134.23,44033.59566,358429758.873195,310462
1522108800000,2018-03-27 00:00:00,BTC/USDT,8134.22,8215.94,7730,7795.51,37427.64805,297609656.440437,266540
1522195200000,2018-03-28 00:00:00,BTC/USDT,7795.51,8109,7728,7949.3,26401.33167,209186093.18318,183620
1522281600000,2018-03-29 00:00:00,BTC/USDT,7949.3,7975,6941.11,7090.14,54620.915125,405591158.632318,359537
1522368000000,2018-03-30 00:00:00,BTC/USDT,7090.16,7292.43,6600.1,6840.23,65306.031976,450352009.170998,400057
1522454400000,2018-03-31 00:00:00,BTC/USDT,6840.24,7223.36,6777,6923.91,36868.539087,258341534.472362,240293
1522540800000,2018-04-01 00:00:00,BTC/USDT,6922,7049.98,6430,6813.01,44071.430463,297470498.819563,260942
1522627200000,2018-04-02 00:00:00,BTC/USDT,6813.01,7125,6765,7056,32123.560072,224322159.413316,206780
1522713600000,2018-04-03 00:00:00,BTC/USDT,7063.97,7520,7011.01,7405.21,37787.331811,277080072.761713,248143
1522800000000,2018-04-04 00:00:00,BTC/USDT,7405.21,7427.52,6707,6796.1,42227.183804,297443582.746122,277249
1522886400000,2018-04-05 00:00:00,BTC/USDT,6796.1,6902,6566.69,6770.76,39029.73146,263446941.132124,238476
1522972800000,2018-04-06 00:00:00,BTC/USDT,6770,6850,6500,6601.39,27455.01192,182139799.808659,162456
1523059200000,2018-04-07 00:00:00,BTC/USDT,6601.39,7070,6586.28,6895.8,32269.578267,222323863.541448,178577
1523145600000,2018-04-08 00:00:00,BTC/USDT,6895.81,7109.13,6880,7018,21427.673165,149967346.66269,152461
1523232000000,2018-04-09 00:00:00,BTC/USDT,7011.04,7185,6611,6782.72,34078.297206,234309953.750334,212669
1523318400000,2018-04-10 00:00:00,BTC/USDT,6781.55,6890,6656,6843.9,22326.728095,151417844.266397,147755
1523404800000,2018-04-11 00:00:00,BTC/USDT,6839.56,6990,6787,6953.79,23997.871177,165264003.412706,155607
1523491200000,2018-04-12 00:00:00,BTC/USDT,6953.78,8012.23,6743.2,7923,64861.595987,485176252.489336,404588
1523577600000,2018-04-13 00:00:00,BTC/USDT,7922.99,8233.39,7732,7877.41,55044.523148,439884522.711949,351905
1523664000000,2018-04-14 00:00:00,BTC/USDT,7877.48,8186,7810,7999.01,31621.286357,252868761.320616,194500
1523750400000,2018-04-15 00:00:00,BTC/USDT,8004,8429.54,7999.02,8355,27946.720444,230287099.584302,181778
1523836800000,2018-04-16 00:00:00,BTC/USDT,8355.07,8419,7867,8064.92,36664.069715,295817536.474953,226748
1523923200000,2018-04-17 00:00:00,BTC/USDT,8064.92,8173.7,7825.4,7885.02,32152.603567,258221765.573713,221228
1524009600000,2018-04-18 00:00:00,BTC/USDT,7890.96,8236.43,7868,8173,26969.04457,217649160.110179,183472
